example_id                                            | status | run_time        |
----------------------------------------------------- | ------ | --------------- |
./spec/models/client_quota_spec.rb[1:1:1]             | passed | 0.09072 seconds |
./spec/models/client_quota_spec.rb[1:1:2]             | passed | 0.13842 seconds |
./spec/models/client_quota_spec.rb[1:1:3]             | passed | 0.13078 seconds |
./spec/models/client_quota_spec.rb[1:2:1]             | passed | 0.09195 seconds |
./spec/models/client_quota_spec.rb[1:2:2]             | passed | 0.10223 seconds |
./spec/models/job_spec.rb[1:1:1]                      | passed | 0.10033 seconds |
./spec/models/job_spec.rb[1:1:2]                      | passed | 0.07672 seconds |
./spec/models/job_spec.rb[1:1:3]                      | passed | 0.07012 seconds |
./spec/models/job_spec.rb[1:1:4]                      | passed | 0.11257 seconds |
./spec/models/job_spec.rb[1:1:5]                      | passed | 0.08746 seconds |
./spec/models/job_spec.rb[1:1:6]                      | passed | 0.06952 seconds |
./spec/models/job_spec.rb[1:1:7]                      | passed | 0.16741 seconds |
./spec/models/job_spec.rb[1:2:1:1]                    | passed | 0.21206 seconds |
./spec/models/job_spec.rb[1:2:2:1]                    | passed | 0.31621 seconds |
./spec/models/job_spec.rb[1:3:1]                      | passed | 0.0684 seconds  |
./spec/models/job_spec.rb[1:3:2]                      | passed | 0.08494 seconds |
./spec/models/job_spec.rb[1:3:3]                      | passed | 0.06112 seconds |
./spec/models/job_spec.rb[1:3:4]                      | passed | 0.12813 seconds |
./spec/models/job_spec.rb[1:3:5]                      | passed | 0.08227 seconds |
./spec/models/job_spec.rb[1:4:1]                      | passed | 0.07185 seconds |
./spec/models/job_spec.rb[1:4:2]                      | passed | 0.04075 seconds |
./spec/models/job_spec.rb[1:4:3]                      | passed | 0.11802 seconds |
./spec/models/job_spec.rb[1:4:4]                      | passed | 0.07618 seconds |
./spec/models/job_spec.rb[1:5:1]                      | passed | 0.06416 seconds |
./spec/models/job_spec.rb[1:5:2]                      | passed | 0.14236 seconds |
./spec/models/job_spec.rb[1:5:3]                      | passed | 0.08208 seconds |
./spec/requests/health_spec.rb[1:1:1:1]               | passed | 0.2381 seconds  |
./spec/requests/health_spec.rb[1:1:1:2]               | passed | 0.59662 seconds |
./spec/requests/health_spec.rb[1:1:2:1]               | passed | 0.17966 seconds |
